TargetFieldName,InputColumnNumber,MappingLogic,Required,DataType,MinLength,MaxLength,MinValue,MaxValue,ValidValues,Pattern
FinanceEnterpriseGroup,,Hardcode '1',Y,AlphaUpper,,4,,,,
RunGroup,1,Column1,Y,AlphaUpper,,30,,,,
SequenceNumber,,Increment By 1,Y,Numeric,,12,,,,
AccountingEntity,3,RemoveLeadingZeroes(Column3),Y,AlphaUpper,,12,,,,
Status,,Hardcode '0',,Numeric,,1,,,"0,1,2",
ToAccountingEntity,3,Column3,,AlphaUpper,,12,,,,
AccountCode,5,Left(Column5, 6),Y,AlphaUpper,,26,,,,
GeneralLedgerEvent,6,If Column6 == '' Then 'TC' Else Column6,,AlphaUpper,,15,,,,
JournalCode,16,Column16,,AlphaUpper,,6,,,,
TransactionDate,7,DateReformat(Column7,'MMDDYYYY','YYYYMMDD'),,Date,,,,,,
Reference,8,Column8,,Alpha,,40,,,,
Description,9,Column9,,Alpha,,60,,,,
CurrencyCode,10,Column10,,AlphaUpper,,5,,,,
UnitsAmount,11,Column11,,Decimal,,,,,,
TransactionAmount,12,Column12,,Decimal,,,,,,
System,15,If Column15 == '' Then 'GL' Else Column15,,AlphaUpper,,2,,,,
AutoReverse,,Hardcode 'N',,Boolean,,,,,,
PostingDate,18,DateReformat(Column18,'MMDDYYYY','YYYYMMDD'),Y,Date,,,,,,
Project,19,Column19,,AlphaUpper,,25,,,,
FinanceDimension1,4,Right(Column4, 5),,AlphaUpper,,15,,,,
FinanceDimension3,20,Column20,,AlphaUpper,,15,,,,
DocumentNumber,21,Column21,,Alpha,,30,,,,
